company,location,layoff_count,date,pct_workforce,industry,source_url,stage,raised_mm,country,is_ai_company
XP,Sao Paulo Non-U.S.,,2023-01-17,,Finance,https://braziljournal.com/xp- cortes-podem-chegar-a-10- da-empresa/,Post-IPO,,Brazil,False
RingCentral,SF Bay Area,30.0,2023-01-17,,Other,https://www.channelfutures.co m/business- models/ringcentral-tidying- up-the-books-with-new- layoffs-8x8-acquisition- looming,Post-IPO, $44.00 ,United States,False
Inspirato,Denver,109.0,2023-01-18,12%,Travel,https://sports.yahoo.com/inspi rato-announces-plan- streamline-operations- 233000003.html,Post-IPO, $179.00 ,United States,False
nCino,Wilmington,100.0,2023-01-18,7%,Finance,https://portcitydaily.com/local -news/2023/01/18/ncino-lays- off-7-of-workforce-cites- challenges-in-global- economy/,Post-IPO," $1,100.00 ",United States,False
Jumpcloud,Boulder,100.0,2023-01-18,12%,Security,https://jumpcloud.com/blog/j umpcloud-restructuring,Series F, $416.00 ,United States,True
Benevity,Calgary Non-U.S.,137.0,2023-01-18,14%,Other,https://benevity.com/message -kelly-schmitt,Unknown, $69.00 ,Canada,False
Starry,Boston,100.0,2023-01-18,24%,Other,https://seekingalpha.com/new s/3925492-starry-group- announces-24-job-cuts,Post-IPO, $260.00 ,United States,False
8x8,SF Bay Area,155.0,2023-01-18,7%,Support,https://www.channelfutures.co m/business-models/8x8-to- reduce-7-of-workforce- significantly-impacting- channel-staff,Post-IPO, $253.00 ,United States,False
Vroom,New York City,275.0,2023-01-18,20%,Transportat…,https://seekingalpha.com/new s/3925618-vroom-slashes- workforce-by-20,Post-IPO," $1,300.00 ",United States,False
Sophos,Oxford Non-U.S.,450.0,2023-01-18,10%,Security,https://techcrunch.com/2023/ 01/18/sophos-global-layoffs/,Acquired, $125.00 ,United Kingdo…,True
Microsoft,Seattle,10000.0,2023-01-18,5%,Other,https://www.usatoday.com/sto ry/money/2023/01/18/micros oft-layoffs-10000-employees- stock/11074235002/,Post-IPO, $1.00 ,United States,True
Pagaya,Tel Aviv Non-U.S.,140.0,2023-01-18,20%,Finance,https://www.calcalistech.com/ ctechnews/article/rjdsyoboo,Post-IPO, $571.00 ,Israel,False
Hootsuite,Vancouver Non-U.S.,70.0,2023-01-18,7%,Marketing,https://www.theglobeandmail. com/business/article- hootsuite-replaces-ceo- announces-layoffs/,Series C, $300.00 ,Canada,False
Teladoc Health,New York City,300.0,2023-01-18,6%,Healthcare,https://digitalhealth.modernhe althcare.com/finance/teladoc- health-layoffs-staff-cut-jason- gorevic,Post-IPO, $172.00 ,United States,False
Addepar,SF Bay Area,20.0,2023-01-18,3%,Finance,https://fortune.com/2023/01/ 17/addepar-a-wealth- management-startup- launched-by-the-co-founder- of-palantir-is-the-latest- fintech-to-cut-jobs/,Series F, $491.00 ,United States,False
Clue,Berlin Non-U.S.,31.0,2023-01-18,31%,Healthcare,https://www.businessinsider.d e/gruenderszene/business/fru chtbarkeits-startup-clue- entlaesst-viertel-der- belegschaft-a/,Unknown, $47.00 ,Germany,False
Redbubble,Melbourne Non-U.S.,,2023-01-18,14%,Retail,https://www.afr.com/compani es/retail/redbubble-makes- 14pc-of-staff-redundant- 20230118-p5cdeh,Post-IPO, $55.00 ,Australia,False
Lucid Diagnostics,New York City,,2023-01-18,20%,Healthcare,https://www.genomeweb.com /business-news/lucid- diagnostics-lays-20-percent- workforce-business- reprioritization#.Y9HdouzMK8 A,Post-IPO,,United States,False
Cypress.io,Atlanta,,2023-01-18,,Product,https://www.linkedin.com/fee d/update/urn:li:activity:702158 2263465189376/,Series B, $54.00 ,United States,False
Coda,SF Bay Area,,2023-01-18,,Other,Internal memo,Series D, $240.00 ,United States,False
Mavenir,Dallas,,2023-01-18,,Infrastructu…,https://www.fiercewireless.co m/wireless/mavenir-executes- some-layoffs-related-rcs- disappointment,Acquired, $854.00 ,United States,False
Betterfly,Santiago Non-U.S.,,2023-01-18,30%,Healthcare,https://www.eleconomista.co m.mx/sectorfinanciero/Betterfl y-despide-al-30-de-sus- colaboradores-por-cambio- de-de-foco-y-crisis- economica-20230118- 0056.html,Series C, $204.00 ,Chile,False
Bally's Interactive,Providence,,2023-01-18,15%,Consumer,https://www.legalsportsreport. com/98714/filing-ballys- cutting-up-to-15-of- interactive-employees/,Post-IPO, $946.00 ,United States,False
Aiven,Helsinki Non-U.S.,,2023-01-18,20%,Infrastructu…,https://aiven.io/blog/a- message-from-our-ceo- oskari-saarenmaa,Series D, $420.00 ,Finland,True
80 Acres Farms,Cincinnati,,2023-01-18,10%,Food,https://www.bizjournals.com/c incinnati/inno/stories/news/20 23/01/18/80-acres-cuts-jobs- tech-industry-job-loses.html,Unknown, $275.00 ,United States,False
Cazoo,London Non-U.S.,,2023-01-18,,Transportat…,https://sifted.eu/articles/cazoo -alex-chesterman-ceo-exit/,Post-IPO," $2,000.00 ",United Kingdo…,False
Riot Games,Los Angeles,46.0,2023-01-19,,Consumer,https://www.eurogamer.net/ri ot-games-reportedly-making- layoffs,Acquired, $21.00 ,United States,False
Capital One,Washington D.C.,1100.0,2023-01-19,,Finance,https://www.reuters.com/tech nology/capital-one-scraps- 1100-tech-positions-source- 2023-01-19/,Post-IPO,,United States,False
Proterra,SF Bay Area,300.0,2023-01-19,,Transportat…,https://news.yahoo.com/prote rra-cut-jobs-merge-electric- 232932585.html,Post-IPO," $1,200.00 ",United States,False
WeWork,New York City,300.0,2023-01-19,,Real Estate,https://investors.wework.com/ news-and-events/press- releases/financial-releases- details/2023/WeWork- Announces-Date-of-Fourth- Quarter-and-Full-Year-2022- Results-Conference- Call/default.aspx,Post-IPO," $22,200.00 ",United States,False
Hubilo,SF Bay Area,115.0,2023-01-19,35%,Other,https://inc42.com/buzz/hubilo -fires-35-of-its-workforce-in- second-round-of-layoffs- within-6-months/,Series B, $153.00 ,United States,False
Saks.com,New York City,100.0,2023-01-19,5%,Retail,https://wwd.com/business- news/retail/saks-com- triggering-layoffs- 1235484907/,Unknown, $965.00 ,United States,False
CS Disco,Austin,62.0,2023-01-19,9%,Legal,https://d18rn0p25nwr6d.cloud front.net/CIK- 0001625641/f8a9ad04-6c29- 4631-b07d-b08d849fbcfa.pdf,Post-IPO, $233.00 ,United States,False
Hydrow,Boston,30.0,2023-01-19,,Fitness,https://www.bostonglobe.com /2023/01/20/business/more- rough-waters-rowing-startup- hydrow/,Series D, $269.00 ,United States,False
Icertis,Seattle,,2023-01-19,,Legal,https://www.bizjournals.com/s eattle/news/2023/01/19/icertis -layoffs-bellevue-unicorn- contract-software.html,Unknown, $521.00 ,United States,False
Fandom,SF Bay Area,,2023-01-19,,Media,https://variety.com/2023/digit al/news/fandom-layoffs-giant- bomb-gamespot-metacritic- tv-guide-1235495258/,Series E, $145.00 ,United States,False
IAM Robotics,Pittsburgh,,2023-01-19,,Hardware,https://www.linkedin.com/fee d/update/urn:li:activity:702199 6164593909760/,Unknown, $21.00 ,United States,False
Magnite,Los Angeles,,2023-01-19,6%,Marketing,https://seekingalpha.com/new s/3926164-magnite-slashes- jobs-by-6-globally-sec-filing,Post-IPO, $400.00 ,United States,False
Mudafy,Mexico City Non-U.S.,,2023-01-19,70%,Real Estate,https://www.cronista.com/info technology/actualidad/vuelve n-los-despidos-masivos-la- empresa-mudafy-echo-al-90- de-sus-empleados/,Series A, $13.00 ,Mexico,False
Personalis,SF Bay Area,,2023-01-19,30%,Healthcare,https://www.genomeweb.com /business-news/personalis- lay-30-percent- workforce#.Y8nuFezMK8A,Post-IPO, $225.00 ,United States,False
Prisma,SF Bay Area,,2023-01-19,28%,Data,https://www.prisma.io/blog/re structure-announcement- 1a9ek279du8j,Series B, $56.00 ,United States,True
Spaceship,Sydney Non-U.S.,,2023-01-19,,Finance,https://www.financialstandard. com.au/news/spaceship- reduces-headcount- reorganises-executive-team- 179798117,Series A, $41.00 ,Australia,False
Wallbox,Barcelona Non-U.S.,,2023-01-19,15%,Energy,https://investorplace.com/202 3/01/wallbox-layoffs-2023- what-to-know-about-the- latest-wbx-job-cuts/,Post-IPO, $167.00 ,Spain,False
Earth Rides,Nashville,,2023-01-19,100%,Transportat…,https://fox17.com/news/local/ google-apple-news-nashville- middle-tennessee-earth-rides- ride-share-company- randomly-shuts-down- employees-without-paychecks,Unknown, $2.00 ,United States,False
BitTorrent,SF Bay Area,92.0,2023-01-20,,Infrastructu…,https://www.bizjournals.com/s anfrancisco/news/2023/01/20/ p2p-bittorrent-rainberry-tech- layoffs-torrent.html,Acquired,,United States,False
Google,SF Bay Area,12000.0,2023-01-20,6%,Consumer,https://www.nytimes.com/202 3/01/20/business/google- alphabet-layoffs.html,Post-IPO, $26.00 ,United States,True
Swiggy,Bengaluru Non-U.S.,380.0,2023-01-20,6%,Food,https://economictimes.indiati mes.com/tech/startups/swigg y-to-layoff-380-employees- ceo-majety-tells- staff/articleshow/97164568.cm s,Unknown," $3,600.00 ",India,False
MediBuddy,Bengaluru Non-U.S.,200.0,2023-01-20,8%,Healthcare,https://inc42.com/buzz/exclusi ve-lightrock-india-backed- medibuddy-lays-oaff-around- 200-employees/,Acquired, $192.00 ,India,False
Vox Media,Washington D.C.,130.0,2023-01-20,7%,Media,https://variety.com/2023/digit al/news/vox-media-layoffs- 130-employees-job-cuts- 1235496467/,Series F, $307.00 ,United States,False
Karat,Seattle,47.0,2023-01-20,,HR,https://www.geekwire.com/20 23/seattle-technical- interviewing-startup-karat- cuts-47-employees-citing- need-to-invest-in-growth/,Unknown, $169.00 ,United States,False
Wayfair,Boston,1750.0,2023-01-20,10%,Retail,https://www.wsj.com/articles/ wayfair-is-preparing-to-lay- off-more-than-1-000-workers- 11674161122,Post-IPO," $1,700.00 ",United States,True
Edifecs,Seattle,30.0,2023-01-20,,Healthcare,https://www.geekwire.com/20 23/edifecs-lays-off-30- employees-in-the-u-s/,Unknown, $1.00 ,United States,False
Zappos,Las Vegas,,2023-01-20,,Retail,https://www.reviewjournal.co m/business/zappos- implements-another-round- of-layoffs-2715896/,Acquired, $62.00 ,United States,False
TikTok,Los Angeles,,2023-01-20,,Consumer,https://www.businessinsider.c om/tiktok-layoffs-talent- acquisition-recruiting-human- resources-2023-1,Acquired,,United States,False
Morning Consult,Washington D.C.,,2023-01-20,,Data,https://www.bizjournals.com/ washington/news/2023/01/20 /morning-consult-layoffs.html,Series B, $91.00 ,United States,True
Enjoei,Sao Paulo Non-U.S.,31.0,2023-01-20,10%,Retail,"https://www.terra.com.br/econ omia/dinheiro-em-dia/meu- negocio/depois-do-ipo-e-da- queda-enjoei-faz-a-sua- demissao-em- massa,e1d6c15174934d10107 33071113dff43zabh1zv5.html",Unknown, $14.00 ,Brazil,False
Avalara,Seattle,,2023-01-20,,Finance,https://www.geekwire.com/20 23/tax-software-giant-avalara- reportedly-lays-off-workers/,Acquired, $341.00 ,United States,False
Citrine Informatics,SF Bay Area,22.0,2023-01-20,27%,Data,https://www.linkedin.com/post s/gregorymulholland_this- week-was-a-hard-one-for- our-team-at-activity- 7022310417347596288-0cd3/,Series C, $64.00 ,United States,True
Cyteir Therapeutics,Boston,,2023-01-20,70%,Healthcare,https://www.fiercebiotech.com /biotech/cyteir-lays-70- workforce-after-further- narrowing-cancer-drug-goals,Series C, $156.00 ,United States,False
BUX,Amsterdam Non-U.S.,,2023-01-22,,Finance,https://nltimes.nl/2023/01/22/ investment-app-bux-cuts- workforce-reduce-costs,Series C, $115.00 ,Netherlands,False
Spotify,Stockholm Non-U.S.,600.0,2023-01-23,6%,Media,https://www.reuters.com/tech nology/spotify-trim-6- workforce-2023-01-23/,Post-IPO," $2,100.00 ",Sweden,False
Uber Freight,SF Bay Area,150.0,2023-01-23,3%,Logistics,https://www.freightwaves.com /news/uber-freight-cutting- about-150-jobs-all-in- brokerage-operations,Subsidia…," $2,700.00 ",United States,False
Inmobi,Bengaluru Non-U.S.,50.0,2023-01-23,,Marketing,https://www.business- standard.com/article/compani es/softbank-backed-inmobi- fires-50-70-employees-on- performance-basis- 123012200465_1.html,Unknown, $320.00 ,India,False
Booktopia,Sydney Non-U.S.,30.0,2023-01-23,,Retail,https://cdn- api.markitdigital.com/apiman- gateway/ASX/asx- research/1.0/file/2924- 02623152-2A1426574? access_token=83ff96335c2d45 a094df02a206a39ff4,Series A, $23.00 ,Australia,False
Innovid,New York City,40.0,2023-01-23,10%,Marketing,https://www.marketwatch.com /amp/story/innovid-will-cut- 10-of-jobs-01674512868,Post-IPO, $295.00 ,United States,False
Camp K12,Gurugram Non-U.S.,,2023-01-23,70%,Education,https://themorningcontext.co m/internet/camp-k12-lays-off- 70-of-staff-refuses-to-pay- dues,Series A, $16.00 ,India,False
Gemini,New York City,,2023-01-23,10%,Crypto,https://www.theinformation.co m/articles/gemini-is-laying- off-10-of-staff-marking-latest- blow-for-winklevoss-crypto- startup,Unknown, $423.00 ,United States,True
Yext,New York City,,2023-01-23,8%,Marketing,https://www.marketwatch.com /story/yext-to-lay-off-8-of- staff-01674510853,Post-IPO, $117.00 ,United States,False
Ermetic,SF Bay Area,30.0,2023-01-23,17%,Security,https://www.calcalistech.com/ ctechnews/article/h1abeu2io,Series B, $97.00 ,United States,True
Namogoo,Tel Aviv Non-U.S.,20.0,2023-01-23,15%,Marketing,https://www.calcalistech.com/ ctechnews/article/skhuvq2ii,Series C, $69.00 ,Israel,False
Gitpod,Kiel Non-U.S.,21.0,2023-01-24,28%,Product,https://www.gitpod.io/blog/bu ilding-for-the-long-run,Series A, $41.00 ,Germany,False
Vacasa,Portland,1300.0,2023-01-24,17%,Travel,https://www.oregonlive.com/b usiness/2023/01/vacasa-will- lay-off-1300-we-need-to- reduce-our-costs.html,Post-IPO, $834.00 ,United States,False
Innovaccer,SF Bay Area,245.0,2023-01-24,15%,Healthcare,https://digitalhealth.modernhe althcare.com/digital- health/digital-health-unicorn- innovaccer-lays-15-its- employees,Series E, $379.00 ,United States,False
Bolt,SF Bay Area,50.0,2023-01-24,10%,Finance,https://www.theinformation.co m/articles/bolt-ceo-cuts-staff- a-third-time-as-revenue-lags,Series E," $1,300.00 ",United States,False
PartnerStack,Toronto Non-U.S.,40.0,2023-01-24,20%,Sales,https://betakit.com/as-big- tech-makes-mass-layoffs- recent-canadian-startup- reductions-might-cut-deeper/,Series B, $36.00 ,Canada,False
OFFOR Health,Columbus,16.0,2023-01-24,,Healthcare,https://www.linkedin.com/fee d/update/urn:li:activity:702436 5334803451904/,Series A, $14.00 ,United States,False
CoachHub,Berlin Non-U.S.,,2023-01-24,10%,HR,https://www.linkedin.com/post s/niebelschuetz_today-we- announced-the-toughest- decision-activity- 7023678997448290304-oDEB/,Series C, $332.00 ,Germany,False
Corvus Insurance,Boston,,2023-01-24,14%,Finance,https://www.bizjournals.com/b oston/inno/stories/news/2023 /01/25/corvus-layoffs-us- europe.html,Series C, $160.00 ,United States,False
Icon,Austin,,2023-01-24,,Construction,https://www.bizjournals.com/a ustin/inno/stories/news/2023/ 01/24/icon-3d-printing- homes-austin-layoffs- tech.html,Series B, $451.00 ,United States,False
PagerDuty,SF Bay Area,,2023-01-24,7%,Product,https://www.marketwatch.com /story/pagerduty-to-lay-off-7- of-staff-revenue-officer-to- exit-271674568511,Post-IPO, $173.00 ,United States,False
Scoro,London Non-U.S.,,2023-01-24,9%,HR,https://digipro.geenius.ee/rub riik/uudis/scoro-koondas- eestis-usas-ja- uhendkuningriigis-9- protsenti-tootajatest/,Series B, $23.00 ,United Kingdo…,False
Venngage,Toronto Non-U.S.,11.0,2023-01-24,20%,Marketing,https://betakit.com/as-big- tech-makes-mass-layoffs- recent-canadian-startup- reductions-might-cut-deeper/,Unknown,,Canada,False
IBM,New York City,3900.0,2023-01-25,2%,Hardware,https://www.bloomberg.com/ news/articles/2023-01- 25/ibm-to-cut-about-3-900- workers-still-hiring-in-higher- growth-areas,Post-IPO,,United States,True
Lam Research,SF Bay Area,1300.0,2023-01-25,7%,Hardware,https://www.bloomberg.com/ news/articles/2023-01- 25/lam-research-to-cut-7-of- workforce-after-forecast- disappoints? leadSource=uverify%20wall,Post-IPO,,United States,False
Shutterfly,SF Bay Area,360.0,2023-01-25,,Retail,https://thedeadpixelssociety.c om/shutterfly-layoffs-impact- 360/,Acquired, $50.00 ,United States,False
Luno,London Non-U.S.,330.0,2023-01-25,35%,Crypto,https://www.cnbc.com/2023/0 1/25/dcg-owned-crypto- exchange-luno-axes- 35percent-of-staff.html,Acquired, $13.00 ,United Kingdo…,True
Clear Capital,Reno,250.0,2023-01-25,25%,Real Estate,https://www.rgj.com/story/ne ws/money/business/2023/01/ 25/more-layoffs-at-reno- based-clear-capital-amid- seismic-housing- shift/69842319007/,Unknown,,United States,False
Guardant Health,SF Bay Area,130.0,2023-01-25,7%,Healthcare,https://www.genomeweb.com /business-news/guardant- health-lays-7-percent- workforce#.Y9HcqOzMK8A,Post-IPO, $550.00 ,United States,False
SirionLabs,Seattle,130.0,2023-01-25,15%,Legal,https://inc42.com/buzz/exclusi ve-days-after-raising-25-mn- funding-tiger-backed- sirionlabs-lays-off-around- 150-employees/,Series D, $171.00 ,United States,False
CareRev,Los Angeles,,2023-01-25,,Healthcare,https://www.carerev.com/blog /a-note-from-the-ceo- refocusing-on-our- technology-to-deliver-on-our- mission,Series A, $51.00 ,United States,False
Finastra,Tel Aviv Non-U.S.,,2023-01-25,,Finance,https://www.calcalistech.com/ ctechnews/article/s1sh8e13i,Unknown,,Israel,False
Noom,New York City,,2023-01-25,,Fitness,https://www.mobihealthnews. com/news/weight-loss- startup-noom-confirms-more- layoffs,Series F, $657.00 ,United States,False
PagSeguro,Sao Paulo Non-U.S.,,2023-01-25,7%,Finance,https://news.fintechnexus.com /pagseguro-and-will-bank- part-of-layoff-wave-in-latam/,Post-IPO,,Brazil,False
Prosus,Amsterdam Non-U.S.,,2023-01-25,30%,Other,https://www.bloomberg.com/ news/articles/2023-01- 25/prosus-to-cut-30-of- corporate-staff-in-latest-tech- layoffs? leadSource=uverify%20wall,Unknown,,Netherlands,False
Tier Mobility,Berlin Non-U.S.,80.0,2023-01-25,7%,Transportat…,https://techcrunch.com/2023/ 01/25/tier-mobility-and-spin- lay-off-100-more-employees/,Series D, $646.00 ,Germany,False
Quora,SF Bay Area,,2023-01-26,,Consumer,https://quorablog.quora.com/ Company-update? ch=10&oid=97805843&share =1139ae3a&srid=XzV2&targe t_type=post,Series D, $226.00 ,United States,False
Plus One Robotics,San Antonio,,2023-01-26,10%,Other,https://www.linkedin.com/fee d/update/urn:li:activity:702447 2621111001088/,Series B, $43.00 ,United States,False
Mode Global,London Non-U.S.,,2023-01-26,100%,Finance,https://ir.q4europe.com/soluti ons/ModePlc/4070/newsArticl e.aspx?storyid=15676173,Post-IPO,,United Kingdo…,False
DriveWealth,Jersey City,,2023-01-26,20%,Finance,https://techcrunch.com/2023/ 02/06/even-well-funded- fintech-companies-are-laying- off-workers/,Series D, $550.00 ,United States,False
Glisser,London Non-U.S.,25.0,2023-01-26,100%,Travel,https://www.linkedin.com/post s/mikepiddock_glisser-people- open-to-work-public-version- activity- 7024682358524010497-5wiM/,Unknown, $1.00 ,United Kingdo…,False
Confluent,SF Bay Area,221.0,2023-01-26,8%,Data,https://investors.confluent.io/ node/8216/html,Post-IPO, $455.00 ,United States,True
SAP,Walldorf Non-U.S.,3000.0,2023-01-26,3%,Other,https://www.cnbc.com/2023/0 1/26/sap-to-cut-3000-roles- explore-sale-of-qualtrics- stake.html,Post-IPO," $1,300.00 ",Germany,False
SSense,Montreal Non-U.S.,138.0,2023-01-27,7%,Retail,https://betakit.com/as-big- tech-makes-mass-layoffs- recent-canadian-startup- reductions-might-cut-deeper/,Series A,,Canada,False
DealShare,Bengaluru Non-U.S.,100.0,2023-01-27,6%,Retail,https://www.moneycontrol.co m/news/business/startup/tige r-global-backed-dealshare- lays-off-6-of-staff- 9949751.html,Series E, $390.00 ,India,False
Ruggable,Los Angeles,100.0,2023-01-27,,Retail,https://www.modernretail.co/o perations/direct-to-consumer- brand-ruggable-lays-off-100- employees/,Seed,,United States,False
Synopsys,SF Bay Area,100.0,2023-01-27,,Other,https://www.eastbaytimes.com /2023/01/27/synopsys- mountain-view-sunnyvale- job-layoff-tech-facebook- google/,Post-IPO,,United States,False
Heycar,Berlin Non-U.S.,73.0,2023-01-27,,Transportat…,https://www.autohaus.de/nach richten/autohersteller/umstruk turierung-heycar-trennt-sich- von-ueber-70-mitarbeitern- 3316468,Unknown,,Germany,False
Soundwide,Berlin Non-U.S.,,2023-01-27,8%,Other,https://cdm.link/2023/01/soun dwide-layoffs/,,,Germany,False
Shakepay,Montreal Non-U.S.,21.0,2023-01-27,25%,Crypto,https://betakit.com/as-big- tech-makes-mass-layoffs- recent-canadian-startup- reductions-might-cut-deeper/,Series A, $45.00 ,Canada,True
Nate,New York City,,2023-01-27,,Retail,https://www.theinformation.co m/articles/coatue-backed-ai- shopping-startup-nate-has- slashed-most-staff-and- disabled-key-features-of-its- app,Series A, $47.00 ,United States,False
Feedzai,Coimbra Non-U.S.,,2023-01-27,,Finance,https://www.finextra.com/new sarticle/41685/exclusive- feedzai-cuts-workforce-amid- restructuring---sources,Unknown, $273.00 ,Portugal,True
Matrixport,Singapore Non-U.S.,29.0,2023-01-27,10%,Crypto,https://www.coindesk.com/bu siness/2023/01/27/jihan-wus- matrixport-cuts-10-of-staff/,Series C, $100.00 ,Singapore,True
#Paid,Toronto Non-U.S.,19.0,2023-01-27,17%,Marketing,https://betakit.com/as-big- tech-makes-mass-layoffs- recent-canadian-startup- reductions-might-cut-deeper/,Series B, $21.00 ,Canada,True
Decent,SF Bay Area,,2023-01-27,,Healthcare,https://www.decent.com/post/ what-just-happened-at- decent,Series A, $18.00 ,United States,False
CoinTracker,SF Bay Area,19.0,2023-01-28,,Crypto,https://www.cointracker.io/blo g/ceo-jon-lerners-message- to-cointracker-employees,Series A, $101.00 ,United States,True
Me Poupe,Sao Paulo Non-U.S.,60.0,2023-01-28,50%,Finance,https://portaldobitcoin.uol.co m.br/os-bastidores-da- demissao-em-massa-da-me- poupe-de-nathalia-arcuri- quer-sair-das-redes-sociais/,Unknown,,Brazil,False
Hoxhunt,Helsinki Non-U.S.,,2023-01-29,,Security,https://www.hs.fi/visio/art- 2000009351910.html,Series B, $43.00 ,Finland,True
Philips,Amsterdam Non-U.S.,6000.0,2023-01-30,13%,Healthcare,https://www.reuters.com/mark ets/europe/philips-scraps- 6000-jobs-drive-improve- profitability-2023-01-30/,Post-IPO,,Netherlands,False
OLX Group,Amsterdam Non-U.S.,1500.0,2023-01-30,15%,Marketing,https://www.financialexpress.c om/industry/prosus-operated- olx-to-fire-at-least-1500- employees-globally/2964475/,Acquired,,Netherlands,False
Arrival,London Non-U.S.,800.0,2023-01-30,50%,Transportat…,https://techcrunch.com/2023/ 01/30/ev-company-arrival-to- cut-workforce-by-50-in-third- restructuring-effort/,Post-IPO, $629.00 ,United Kingdo…,False
Groupon,Chicago,500.0,2023-01-30,,Retail,https://www.chicagobusiness.c om/technology/groupon-lay- another-500-workers,Post-IPO," $1,400.00 ",United States,False
Intel,SF Bay Area,343.0,2023-01-30,,Hardware,https://www.sfgate.com/tech/ article/intel-plans-layoffs- california-campus- 17752669.php,Post-IPO, $12.00 ,United States,True
Glovo,Barcelona Non-U.S.,250.0,2023-01-30,6%,Food,https://sifted.eu/articles/glovo -lays-offs-news/,Acquired," $1,200.00 ",Spain,False
Delivery Hero,Berlin Non-U.S.,156.0,2023-01-30,4%,Food,https://newsingermany.com/d elivery-hero-lays-off-four- percent-of-employees-at- headquarters/,Post-IPO," $9,900.00 ",Germany,False
Chrono24,Karlsruhe Non-U.S.,65.0,2023-01-30,13%,Retail,https://www.bloomberg.com/ news/articles/2023-01- 30/rolex-reseller-chrono24- cuts-jobs-as-pre-owned- watch-prices-fall,Series C, $205.00 ,Germany,False
BM Technologies,Philadelphia,,2023-01-30,25%,Finance,https://ir.bmtxinc.com/news/n ews-details/2023/BM- Technologies-Inc.-Announces- Profit-Enhancement-Plan-and- Changes-to-Management- and-Directors/default.aspx,Post-IPO,,United States,False
Olist,Curitiba Non-U.S.,,2023-01-30,,Retail,https://www.estadao.com.br/li nk/inovacao/unicornio-olist- faz-2-rodada-de-demissoes- em-massa-e-aponta- mercado-arido-em-2023/,Series E, $322.00 ,Brazil,False
Oyster,Charlotte,,2023-01-30,,HR,https://www.linkedin.com/post s/teljamou_oyster-talent-list- activity- 7026112666393829376-KB_N/,Series C, $224.00 ,United States,False
Prime Trust,Las Vegas,,2023-01-30,33%,Crypto,https://www.coindesk.com/bu siness/2023/01/30/crypto- services-company-prime- trust-lays-off-one-third-of- staff/,Series B, $176.00 ,United States,True
Quantum SI,New Haven,,2023-01-30,12%,Healthcare,https://www.genomeweb.com /proteomics-protein- research/quantum-si-laying- 12-percent- workforce#.Y9wOl-zMK8A,Post-IPO, $425.00 ,United States,False
SoFi,SF Bay Area,,2023-01-30,,Finance,https://www.americanbanker.c om/news/sofis-bank-charter- drives-positive-outlook- though-layoffs-hit-tech-unit,Post-IPO," $3,000.00 ",United States,False
Impossible Foods copy,SF Bay Area,140.0,2023-01-30,20%,Food,https://www.bloomberg.com/ news/articles/2023-01- 30/impossible-foods-plans-to- lay-off-about-20-of- employees,Series H," $1,900.00 ",United States,False
Upstart,SF Bay Area,365.0,2023-01-31,20%,Finance,https://www.marketwatch.com /story/upstart-to-lay-off-365- employees-20-of-staff- 271675176017,Post-IPO, $144.00 ,United States,False
PayPal,SF Bay Area,2000.0,2023-01-31,7%,Finance,https://www.cnbc.com/2023/0 1/31/paypal-to-lay-off-2000- employees-in-coming-weeks- about-7percent-of- workforce.html,Post-IPO, $216.00 ,United States,False
NetApp,SF Bay Area,960.0,2023-01-31,8%,Data,https://www.theregister.com/2 023/01/31/netapp_layoffs_8_p ercent/,Post-IPO,,United States,True
Workday,SF Bay Area,525.0,2023-01-31,3%,HR,https://www.cnbc.com/2023/0 1/31/workday-lays-off- employees-but-will-grow- head-count.html,Post-IPO, $230.00 ,United States,False
HubSpot,Boston,500.0,2023-01-31,7%,Marketing,https://www.marketwatch.com /story/hubspot-to-lay-off- about-500-employees- consolidate-workspace- leases-01675175630,Post-IPO, $100.00 ,United States,False
Software AG,Frankfurt Non-U.S.,200.0,2023-01-31,4%,Data,https://investors.softwareag.co m/content/dam/investorrelati on/pdfs/english/financial- results/2022/q4/20230131_so w_en_press_release_q4_2022.p df.sagdownload.inline.167518 4544569.pdf,Post-IPO, $344.00 ,Germany,True
OpenText,Waterloo Non-U.S.,,2023-01-31,8%,Data,https://www.crn.com/news/se curity/layoffs-ahead-as- opentext-closes-5-8b-micro- focus-buy,Post-IPO," $1,100.00 ",Canada,True
Wefox,Berlin Non-U.S.,100.0,2023-01-31,,Finance,https://versicherungsmonitor. de/2023/01/31/wefox- streicht-stellen/,Series D," $1,300.00 ",Germany,False
Tilting Point,New York City,60.0,2023-01-31,14%,Consumer,https://mobilegamer.biz/layoff s-at-tilting-point-as-it- restructures-and-switches- strategy/,Unknown, $235.00 ,United States,False
Gokada,Lagos Non-U.S.,54.0,2023-01-31,,Transportat…,https://techcabal.com/2023/0 2/02/gokada-layoffs-affects- 54/,Unknown, $12.00 ,Nigeria,False
Nubank,Sao Paulo Non-U.S.,40.0,2023-01-31,,Finance,https://valorinveste.globo.com /mercados/renda- variavel/empresas/noticia/202 3/01/31/nubank-demite-40- pessoas-e-fecha-rea-de- assessoria-de- investimentos.ghtml,Post-IPO," $4,100.00 ",Brazil,False
AU10TIX,Tel Aviv Non-U.S.,19.0,2023-01-31,9%,Security,https://www.calcalistech.com/ ctechnews/article/sy6ynzb2o,Unknown, $80.00 ,Israel,True
